A0A024RBG1,NUD4B_HUMAN
Q7RTN6,STRAA_HUMAN
Q7RTP6,MICA3_HUMAN
Q7RTR2,NLRC3_HUMAN
Q7RTS1,BHA15_HUMAN
Q7RTS3,PTF1A_HUMAN
Q7RTS6,OTOP2_HUMAN
Q7RTS7,K2C74_HUMAN
Q7RTT5,SSX7_HUMAN
Q7RTT9,S29A4_HUMAN
Q7RTU0,TCF24_HUMAN
Q7RTU1,TCF23_HUMAN
Q7RTU3,OLIG3_HUMAN
Q7RTU4,BHA09_HUMAN
Q7RTU7,SCX_HUMAN
Q7RTV3,ZN367_HUMAN
Q7RTW8,OTOAN_HUMAN
Q7RTX7,CTSR4_HUMAN
Q7RTX9,MOT14_HUMAN
Q7RTY1,MOT9_HUMAN
Q7RTY8,TMPS7_HUMAN
Q7RTZ2,U17L1_HUMAN
Q7Z2H8,S36A1_HUMAN
Q7Z2K6,ERMP1_HUMAN
Q7Z2K8,GRIN1_HUMAN
Q7Z2Q7,LRR70_HUMAN
Q7Z2T5,TRM1L_HUMAN
Q7Z2W4,ZCCHV_HUMAN
Q7Z2W7,TRPM8_HUMAN
Q7Z2W9,RM21_HUMAN
Q7Z2X7,PAGE2_HUMAN
Q7Z2Y5,NRK_HUMAN
Q7Z2Z1,TICRR_HUMAN
Q7Z2Z2,EFL1_HUMAN
Q7Z309,F122B_HUMAN
Q7Z333,SETX_HUMAN
Q7Z340,ZN551_HUMAN
Q7Z353,HDX_HUMAN
Q7Z388,D19L4_HUMAN
Q7Z398,ZN550_HUMAN
Q7Z3B4,NUP54_HUMAN
Q7Z3C6,ATG9A_HUMAN
Q7Z3D4,LYSM3_HUMAN
Q7Z3E1,PARPT_HUMAN
Q7Z3E2,CC186_HUMAN
Q7Z3E5,ARMC9_HUMAN
Q7Z3F1,GP155_HUMAN
Q7Z3G6,PRIC2_HUMAN
Q7Z3H0,PANKY_HUMAN
Q7Z3H4,SAMD7_HUMAN
Q7Z3I7,ZN572_HUMAN
Q7Z3J2,VP35L_HUMAN
Q7Z3J3,RGPD4_HUMAN
Q7Z3K3,POGZ_HUMAN
Q7Z3K6,MIER3_HUMAN
Q7Z3S7,CA2D4_HUMAN
Q7Z3T8,ZFY16_HUMAN
Q7Z3U7,MON2_HUMAN
Q7Z3V5,ZN571_HUMAN
Q7Z3Y7,K1C28_HUMAN
Q7Z3Y8,K1C27_HUMAN
Q7Z3Y9,K1C26_HUMAN
Q7Z3Z0,K1C25_HUMAN
Q7Z3Z2,RD3_HUMAN
Q7Z3Z3,PIWL3_HUMAN
Q7Z3Z4,PIWL4_HUMAN
Q7Z401,MYCPP_HUMAN
Q7Z402,TMC7_HUMAN
Q7Z403,TMC6_HUMAN
Q7Z406,MYH14_HUMAN
Q7Z417,NUFP2_HUMAN
Q7Z418,KCNKI_HUMAN
Q7Z422,SZRD1_HUMAN
Q7Z429,LFG1_HUMAN
Q7Z434,MAVS_HUMAN
Q7Z443,PK1L3_HUMAN
Q7Z444,RASE_HUMAN
Q7Z460,CLAP1_HUMAN
Q7Z465,BNIPL_HUMAN
Q7Z478,DHX29_HUMAN
Q7Z494,NPHP3_HUMAN
Q7Z4F1,LRP10_HUMAN
Q7Z4H7,HAUS6_HUMAN
Q7Z4H9,F220A_HUMAN
Q7Z4K8,TRI46_HUMAN
Q7Z4L0,COX8C_HUMAN
Q7Z4M0,RE114_HUMAN
Q7Z4N2,TRPM1_HUMAN
Q7Z4P5,GDF7_HUMAN
Q7Z4Q2,HEAT3_HUMAN
Q7Z4R8,CF120_HUMAN
Q7Z4S6,KI21A_HUMAN
Q7Z4T8,GLTL5_HUMAN
Q7Z4T9,CFA91_HUMAN
Q7Z4V0,ZN438_HUMAN
Q7Z4V5,HDGR2_HUMAN
Q7Z569,BRAP_HUMAN
Q7Z570,Z804A_HUMAN
Q7Z572,SPT21_HUMAN
Q7Z589,EMSY_HUMAN
Q7Z591,AKNA_HUMAN
Q7Z5B4,RIC3_HUMAN
Q7Z5D8,NANGN_HUMAN
Q7Z5H3,RHG22_HUMAN
Q7Z5J4,RAI1_HUMAN
Q7Z5J8,ANKAR_HUMAN
Q7Z5K2,WAPL_HUMAN
Q7Z5L2,R3HCL_HUMAN
Q7Z5L3,C1QL2_HUMAN
Q7Z5L7,PODN_HUMAN
Q7Z5L9,I2BP2_HUMAN
Q7Z5M5,TMC3_HUMAN
Q7Z5N4,SDK1_HUMAN
Q7Z5Q5,DPOLN_HUMAN
Q7Z5R6,AB1IP_HUMAN
Q7Z5V6,PPR32_HUMAN
Q7Z5Y6,BMP8A_HUMAN
Q7Z5Y7,KCD20_HUMAN
Q7Z601,GP142_HUMAN
Q7Z614,SNX20_HUMAN
Q7Z624,CMKMT_HUMAN
Q7Z628,ARHG8_HUMAN
Q7Z698,SPRE2_HUMAN
Q7Z699,SPRE1_HUMAN
Q7Z6A9,BTLA_HUMAN
Q7Z6B0,CCD91_HUMAN
Q7Z6B7,SRGP1_HUMAN
Q7Z6E9,RBBP6_HUMAN
Q7Z6G3,NECA2_HUMAN
Q7Z6G8,ANS1B_HUMAN
Q7Z6I6,RHG30_HUMAN
Q7Z6I8,CE024_HUMAN
Q7Z6J0,SH3R1_HUMAN
Q7Z6J2,GRASP_HUMAN
Q7Z6J4,FGD2_HUMAN
Q7Z6J6,FRMD5_HUMAN
Q7Z6J9,SEN54_HUMAN
Q7Z6K1,THAP5_HUMAN
Q7Z6L0,PRRT2_HUMAN
Q7Z6L1,TCPR1_HUMAN
Q7Z6M2,FBX33_HUMAN
Q7Z6M3,MILR1_HUMAN
Q7Z6M4,MTEF4_HUMAN
Q7Z6P3,RAB44_HUMAN
Q7Z6R9,AP2D_HUMAN
Q7Z6W7,DNJB7_HUMAN
Q7Z6Z6,PLPL5_HUMAN
Q7Z6Z7,HUWE1_HUMAN
Q7Z736,PKHH3_HUMAN
Q7Z739,YTHD3_HUMAN
Q7Z794,K2C1B_HUMAN
Q7Z7A1,CNTRL_HUMAN
Q7Z7A3,CTU1_HUMAN
Q7Z7A4,PXK_HUMAN
Q7Z7B0,FLIP1_HUMAN
Q7Z7B7,DB132_HUMAN
Q7Z7C7,STRA8_HUMAN
Q7Z7C8,TAF8_HUMAN
Q7Z7E8,UB2Q1_HUMAN
Q7Z7F0,KHDC4_HUMAN
Q7Z7G1,CLNK_HUMAN
Q7Z7G2,CPLX4_HUMAN
Q7Z7G8,VP13B_HUMAN
Q7Z7H8,RM10_HUMAN
Q7Z7J5,DPPA2_HUMAN
Q7Z7J9,CK2N1_HUMAN
Q7Z7K2,ZN467_HUMAN
Q7Z7L8,CK096_HUMAN
Q7Z7L9,ZSCA2_HUMAN
Q7Z7M0,MEGF8_HUMAN
Q7Z7M8,B3GN8_HUMAN
Q7Z7M9,GALT5_HUMAN
Q86SE5,RALYL_HUMAN
Q86SE8,NPM2_HUMAN
Q86SF2,GALT7_HUMAN
Q86SG2,ANR23_HUMAN
Q86SG6,NEK8_HUMAN
Q86SH2,ZAR1_HUMAN
Q86SJ2,AMGO2_HUMAN
Q86SJ6,DSG4_HUMAN
Q86SK9,SCD5_HUMAN
Q86SP6,GP149_HUMAN
Q86SQ0,PHLB2_HUMAN
Q86SQ4,AGRG6_HUMAN
Q86SQ6,AGRA1_HUMAN
Q86SQ7,SDCG8_HUMAN
Q86SR1,GLT10_HUMAN
Q86SS6,SYT9_HUMAN
Q86SU0,ILDR1_HUMAN
Q86SX6,GLRX5_HUMAN
Q86T03,PP4P1_HUMAN
Q86T13,CLC14_HUMAN
Q86T20,SIM29_HUMAN
Q86T24,KAISO_HUMAN
Q86T29,ZN605_HUMAN
Q86T65,DAAM2_HUMAN
Q86T75,NBPFB_HUMAN
Q86T82,UBP37_HUMAN
Q86T90,K1328_HUMAN
Q86T96,RN180_HUMAN
Q86TB3,ALPK2_HUMAN
Q86TB9,PATL1_HUMAN
Q86TC9,MYPN_HUMAN
Q86TE4,LUZP2_HUMAN
Q86TH1,ATL2_HUMAN
Q86TI0,TBCD1_HUMAN
Q86TJ5,ZN554_HUMAN
Q86TL0,ATG4D_HUMAN
Q86TL2,STIMA_HUMAN
Q86TM6,SYVN1_HUMAN
Q86TN4,TRPT1_HUMAN
Q86TP1,PRUN1_HUMAN
Q86TU7,SETD3_HUMAN
Q86TV6,TTC7B_HUMAN
Q86TY3,ARMD4_HUMAN
Q86U06,RBM23_HUMAN
Q86U17,SPA11_HUMAN
Q86U28,ISCA2_HUMAN
Q86U38,NOP9_HUMAN
Q86U42,PABP2_HUMAN
Q86U44,MTA70_HUMAN
Q86U70,LDB1_HUMAN
Q86U86,PB1_HUMAN
Q86U90,YRDC_HUMAN
Q86UA1,PRP39_HUMAN
Q86UB2,BIVM_HUMAN
Q86UD0,SAPC2_HUMAN
Q86UD3,MARH3_HUMAN
Q86UD4,ZN329_HUMAN
Q86UE3,ZN546_HUMAN
Q86UE4,LYRIC_HUMAN
Q86UE6,LRRT1_HUMAN
Q86UE8,TLK2_HUMAN
Q86UF2,CTGE6_HUMAN
Q86UF4,CC190_HUMAN
Q86UG4,SO6A1_HUMAN
Q86UK0,ABCAC_HUMAN
Q86UK5,LBN_HUMAN
Q86UL3,GPAT4_HUMAN
Q86UL8,MAGI2_HUMAN
Q86UN2,R4RL1_HUMAN
Q86UN3,R4RL2_HUMAN
Q86UN6,AKA28_HUMAN
Q86UP0,CAD24_HUMAN
Q86UP2,KTN1_HUMAN
Q86UP8,GTD2A_HUMAN
Q86UQ0,ZN589_HUMAN
Q86UR1,NOXA1_HUMAN
Q86UR5,RIMS1_HUMAN
Q86US8,EST1A_HUMAN
Q86UT5,NHRF4_HUMAN
Q86UT6,NLRX1_HUMAN
Q86UU0,BCL9L_HUMAN
Q86UU1,PHLB1_HUMAN
Q86UU5,GGN_HUMAN
Q86UU9,TKN4_HUMAN
Q86UV5,UBP48_HUMAN
Q86UW2,OSTB_HUMAN
Q86UW6,N4BP2_HUMAN
Q86UW7,CAPS2_HUMAN
Q86UW9,DTX2_HUMAN
Q86UX6,ST32C_HUMAN
Q86UY5,FA83A_HUMAN
Q86UY8,NT5D3_HUMAN
Q86UZ6,ZBT46_HUMAN
Q86V15,CASZ1_HUMAN
Q86V20,SHLD2_HUMAN
Q86V24,PAQR2_HUMAN
Q86V25,VASH2_HUMAN
Q86V40,TIKI1_HUMAN
Q86V42,F124A_HUMAN
Q86V48,LUZP1_HUMAN
Q86V59,PNM8A_HUMAN
Q86V71,ZN429_HUMAN
Q86V86,PIM3_HUMAN
Q86V87,F16B2_HUMAN
Q86V97,KBTB6_HUMAN
Q86VB7,C163A_HUMAN
Q86VD1,MORC1_HUMAN
Q86VE0,MYPOP_HUMAN
Q86VE3,SATL1_HUMAN
Q86VF2,IGFN1_HUMAN
Q86VF7,NRAP_HUMAN
Q86VG3,CK074_HUMAN
Q86VH2,KIF27_HUMAN
Q86VH4,LRRT4_HUMAN
Q86VH5,LRRT3_HUMAN
Q86VI4,LAP4B_HUMAN
Q86VK4,ZN410_HUMAN
Q86VL8,S47A2_HUMAN
Q86VM9,ZCH18_HUMAN
Q86VP1,TAXB1_HUMAN
Q86VP3,PACS2_HUMAN
Q86VP6,CAND1_HUMAN
Q86VQ0,LCA5_HUMAN
Q86VQ1,GLCI1_HUMAN
Q86VQ3,TXND2_HUMAN
Q86VR2,RETR3_HUMAN
Q86VR7,VS10L_HUMAN
Q86VR8,FJX1_HUMAN
Q86VS3,IQCH_HUMAN
Q86VS8,HOOK3_HUMAN
Q86VV4,RNB3L_HUMAN
Q86VV8,RTTN_HUMAN
Q86VW1,S22AG_HUMAN
Q86VW2,ARHGP_HUMAN
Q86VY4,TSYL5_HUMAN
Q86VY9,T200A_HUMAN
Q86VZ1,P2RY8_HUMAN
Q86VZ4,LRP11_HUMAN
Q86VZ6,JAZF1_HUMAN
Q86W11,ZSC30_HUMAN
Q86W25,NAL13_HUMAN
Q86W26,NAL10_HUMAN
Q86W33,TPRA1_HUMAN
Q86W47,KCMB4_HUMAN
Q86W50,MET16_HUMAN
Q86W54,SPA24_HUMAN
Q86W56,PARG_HUMAN
Q86W67,F228A_HUMAN
Q86W92,LIPB1_HUMAN
Q86WA8,LONP2_HUMAN
Q86WB0,NIPA_HUMAN
Q86WD7,SPA9_HUMAN
Q86WG3,ATCAY_HUMAN
Q86WG5,MTMRD_HUMAN
Q86WH2,RASF3_HUMAN
Q86WI3,NLRC5_HUMAN
Q86WK6,AMGO1_HUMAN
Q86WK7,AMGO3_HUMAN
Q86WN1,FCSD1_HUMAN
Q86WP2,GPBP1_HUMAN
Q86WR0,CCD25_HUMAN
Q86WR6,CQ064_HUMAN
Q86WR7,PRSR2_HUMAN
Q86WS3,OOSP2_HUMAN
Q86WS4,CL040_HUMAN
Q86WS5,TMPSC_HUMAN
Q86WT6,TRI69_HUMAN
Q86WV1,SKAP1_HUMAN
Q86WX3,AROS_HUMAN
Q86WZ0,HEAT4_HUMAN
Q86WZ6,ZN227_HUMAN
Q86X02,CDR2L_HUMAN
Q86X10,RLGPB_HUMAN
Q86X24,HORM1_HUMAN
Q86X27,RGPS2_HUMAN
Q86X29,LSR_HUMAN
Q86X45,TILB_HUMAN
Q86X51,EZHIP_HUMAN
Q86X52,CHSS1_HUMAN
Q86X53,ERIC1_HUMAN
Q86X76,NIT1_HUMAN
Q86X95,CIR1_HUMAN
Q86XD5,F131B_HUMAN
Q86XD8,ZFAN4_HUMAN
Q86XE3,MICU3_HUMAN
Q86XF7,ZN575_HUMAN
Q86XH1,DRC11_HUMAN
Q86XI6,PPR3B_HUMAN
Q86XJ0,CAHM3_HUMAN
Q86XJ1,GA2L3_HUMAN
Q86XK2,FBX11_HUMAN
Q86XK3,SFR1_HUMAN
Q86XK7,VSIG1_HUMAN
Q86XL3,ANKL2_HUMAN
Q86XN6,ZN761_HUMAN
Q86XN7,PRSR1_HUMAN
Q86XN8,MEX3D_HUMAN
Q86XP1,DGKH_HUMAN
Q86XP3,DDX42_HUMAN
Q86XR2,NIBA3_HUMAN
Q86XR5,PRIMA_HUMAN
Q86XR7,TCAM2_HUMAN
Q86XR8,CEP57_HUMAN
Q86XS5,ANGL5_HUMAN
Q86XS8,GOLI_HUMAN
Q86XT2,VP37D_HUMAN
Q86XU0,ZN677_HUMAN
Q86XZ4,SPAS2_HUMAN
Q86Y01,DTX1_HUMAN
Q86Y07,VRK2_HUMAN
Q86Y13,DZIP3_HUMAN
Q86Y22,CONA1_HUMAN
Q86Y25,Z354C_HUMAN
Q86Y26,NUTM1_HUMAN
Q86Y33,CD20B_HUMAN
Q86Y34,AGRG3_HUMAN
Q86Y37,CACL1_HUMAN
Q86Y38,XYLT1_HUMAN
Q86Y46,K2C73_HUMAN
Q86Y82,STX12_HUMAN
Q86Y91,KI18B_HUMAN
Q86Y97,KMT5C_HUMAN
Q86YA3,ZGRF1_HUMAN
Q86YC2,PALB2_HUMAN
Q86YD1,PTOV1_HUMAN
Q86YD3,TMM25_HUMAN
Q86YD5,LRAD3_HUMAN
Q86YD7,F90A1_HUMAN
Q86YE8,ZN573_HUMAN
Q86YF9,DZIP1_HUMAN
Q86YI8,PHF13_HUMAN
Q86YJ5,MARH9_HUMAN
Q86YJ7,AN13B_HUMAN
Q86YL5,TDRP_HUMAN
Q86YL7,PDPN_HUMAN
Q86YM7,HOME1_HUMAN
Q86YN6,PRGC2_HUMAN
Q86YP4,P66A_HUMAN
Q86YR6,POTED_HUMAN
Q86YR7,MF2L2_HUMAN
Q86YS3,RFIP4_HUMAN
Q86YS7,C2CD5_HUMAN
Q86YT5,S13A5_HUMAN
Q86YT9,JAML_HUMAN
Q86YV0,RASL3_HUMAN
Q86YV5,PRAG1_HUMAN
Q86YV6,MYLK4_HUMAN
Q86YW0,PLCZ1_HUMAN
Q86YW5,TRML1_HUMAN
Q86YW9,MD12L_HUMAN
Q86YZ3,HORN_HUMAN
Q86Z02,HIPK1_HUMAN
Q86Z20,CC125_HUMAN
Q86Z23,C1QL4_HUMAN
Q8HWS3,RFX6_HUMAN
Q8IU54,IFNL1_HUMAN
Q8IU57,INLR1_HUMAN
Q8IU60,DCP2_HUMAN
Q8IU68,TMC8_HUMAN
Q8IU81,I2BP1_HUMAN
Q8IU85,KCC1D_HUMAN
Q8IU89,CERS3_HUMAN
Q8IU99,CAHM1_HUMAN
Q8IUA7,ABCA9_HUMAN
Q8IUC0,KR131_HUMAN
Q8IUC1,KR111_HUMAN
Q8IUC4,RHPN2_HUMAN
Q8IUC6,TCAM1_HUMAN
Q8IUC8,GLT13_HUMAN
Q8IUD2,RB6I2_HUMAN
Q8IUD6,RN135_HUMAN
Q8IUE0,TF2LY_HUMAN
Q8IUE1,TF2LX_HUMAN
Q8IUF1,CBWD2_HUMAN
Q8IUF8,RIOX2_HUMAN
Q8IUG5,MY18B_HUMAN
Q8IUH2,CREG2_HUMAN
Q8IUH4,ZDH13_HUMAN
Q8IUH5,ZDH17_HUMAN
Q8IUH8,SPP2C_HUMAN
Q8IUK5,PLDX1_HUMAN
Q8IUK8,CBLN2_HUMAN
Q8IUL8,CILP2_HUMAN
Q8IUM7,NPAS4_HUMAN
Q8IUN9,CLC10_HUMAN
Q8IUQ0,CLVS1_HUMAN
Q8IUQ4,SIAH1_HUMAN
Q8IUR6,CRERF_HUMAN
Q8IUS5,EPHX4_HUMAN
Q8IUW3,SPA2L_HUMAN
Q8IUW5,RELL1_HUMAN
Q8IUX1,T126B_HUMAN
Q8IUX7,AEBP1_HUMAN
Q8IUX8,EGFL6_HUMAN
Q8IUY3,GRM2A_HUMAN
Q8IUZ0,LRC49_HUMAN
Q8IV01,SYT12_HUMAN
Q8IV04,TB10C_HUMAN
Q8IV08,PLD3_HUMAN
Q8IV31,TM139_HUMAN
Q8IV32,CCD71_HUMAN
Q8IV33,K0825_HUMAN
Q8IV35,WDR49_HUMAN
Q8IV36,HID1_HUMAN
Q8IV38,ANKY2_HUMAN
Q8IV45,UN5CL_HUMAN
Q8IV48,ERI1_HUMAN
Q8IV50,LYSM2_HUMAN
Q8IV53,DEN1C_HUMAN
Q8IV56,PRR15_HUMAN
Q8IV61,GRP3_HUMAN
Q8IV63,VRK3_HUMAN
Q8IV76,PASD1_HUMAN
Q8IV77,CNGA4_HUMAN
Q8IVA1,PCP2_HUMAN
Q8IVB4,SL9A9_HUMAN
Q8IVB5,LIX1L_HUMAN
Q8IVC4,ZN584_HUMAN
Q8IVD9,NUDC3_HUMAN
Q8IVE3,PKHH2_HUMAN
Q8IVF1,NTM2A_HUMAN
Q8IVF2,AHNK2_HUMAN
Q8IVF4,DYH10_HUMAN
Q8IVF5,TIAM2_HUMAN
Q8IVF6,AN18A_HUMAN
Q8IVG5,SAM9L_HUMAN
Q8IVH2,FOXP4_HUMAN
Q8IVH8,M4K3_HUMAN
Q8IVI9,NOSTN_HUMAN
Q8IVJ1,S41A1_HUMAN
Q8IVL0,NAV3_HUMAN
Q8IVL1,NAV2_HUMAN
Q8IVL5,P3H2_HUMAN
Q8IVL6,P3H3_HUMAN
Q8IVM0,CCD50_HUMAN
Q8IVN3,MSTN1_HUMAN
Q8IVS2,FABD_HUMAN
Q8IVT2,MISP_HUMAN
Q8IVU1,IGDC3_HUMAN
Q8IVU9,CBCO1_HUMAN
Q8IVV7,GID4_HUMAN
Q8IVW4,CDKL3_HUMAN
Q8IVW6,ARI3B_HUMAN
Q8IVW8,SPNS2_HUMAN
Q8IVY1,CA210_HUMAN
Q8IW00,VSTM4_HUMAN
Q8IW03,SIAH3_HUMAN
Q8IW19,APLF_HUMAN
Q8IW35,CEP97_HUMAN
Q8IW41,MAPK5_HUMAN
Q8IW50,F219A_HUMAN
Q8IW52,SLIK4_HUMAN
Q8IW70,T151B_HUMAN
Q8IW93,ARHGJ_HUMAN
Q8IWA0,WDR75_HUMAN
Q8IWA4,MFN1_HUMAN
Q8IWA6,CCD60_HUMAN
Q8IWB1,IPRI_HUMAN
Q8IWB4,S31A7_HUMAN
Q8IWB6,TEX14_HUMAN
Q8IWB9,TEX2_HUMAN
Q8IWC1,MA7D3_HUMAN
Q8IWD4,CC117_HUMAN
Q8IWD5,MFS6L_HUMAN
Q8IWE2,NXP20_HUMAN
Q8IWE4,DCNL3_HUMAN
Q8IWE5,PKHM2_HUMAN
Q8IWF2,FXRD2_HUMAN
Q8IWF6,DEN6A_HUMAN
Q8IWF9,CCD83_HUMAN
Q8IWG1,WDR63_HUMAN
Q8IWI9,MGAP_HUMAN
Q8IWJ2,GCC2_HUMAN
Q8IWK6,AGRA3_HUMAN
Q8IWL2,SFTA1_HUMAN
Q8IWN7,RP1L1_HUMAN
Q8IWQ3,BRSK2_HUMAN
Q8IWR0,Z3H7A_HUMAN
Q8IWS0,PHF6_HUMAN
Q8IWT1,SCN4B_HUMAN
Q8IWT3,CUL9_HUMAN
Q8IWT6,LRC8A_HUMAN
Q8IWU2,LMTK2_HUMAN
Q8IWU5,SULF2_HUMAN
Q8IWU6,SULF1_HUMAN
Q8IWU9,TPH2_HUMAN
Q8IWV1,LAX1_HUMAN
Q8IWV7,UBR1_HUMAN
Q8IWV8,UBR2_HUMAN
Q8IWW6,RHG12_HUMAN
Q8IWX5,SGPP2_HUMAN
Q8IWX8,CHERP_HUMAN
Q8IWY8,ZSC29_HUMAN
Q8IWY9,CDAN1_HUMAN
Q8IWZ3,ANKH1_HUMAN
Q8IWZ8,SUGP1_HUMAN
Q8IX01,SUGP2_HUMAN
Q8IX03,KIBRA_HUMAN
Q8IX07,FOG1_HUMAN
Q8IX12,CCAR1_HUMAN
Q8IX15,HOMEZ_HUMAN
Q8IX18,DHX40_HUMAN
Q8IX21,SLF2_HUMAN
Q8IX29,FBX16_HUMAN
Q8IX90,SKA3_HUMAN
Q8IXA5,SACA3_HUMAN
Q8IXB3,TARG1_HUMAN
Q8IXF0,NPAS3_HUMAN
Q8IXF9,AQ12A_HUMAN
Q8IXH6,T53I2_HUMAN
Q8IXH8,CAD26_HUMAN
Q8IXJ6,SIR2_HUMAN
Q8IXJ9,ASXL1_HUMAN
Q8IXK0,PHC2_HUMAN
Q8IXK2,GLT12_HUMAN
Q8IXL6,FA20C_HUMAN
Q8IXL7,MSRB3_HUMAN
Q8IXM2,BAP18_HUMAN
Q8IXN7,RIMKA_HUMAN
Q8IXP5,CK053_HUMAN
Q8IXQ3,CI040_HUMAN
Q8IXQ4,GPAM1_HUMAN
Q8IXQ8,PDZD9_HUMAN
Q8IXR9,CL056_HUMAN
Q8IXS0,F217A_HUMAN
Q8IXS8,F126B_HUMAN
Q8IXT1,DDIAS_HUMAN
Q8IXT2,DMRTD_HUMAN
Q8IXT5,RB12B_HUMAN
Q8IXU6,S35F2_HUMAN
Q8IXW0,LMTD2_HUMAN
Q8IXW5,RPAP2_HUMAN
Q8IXX5,T183A_HUMAN
Q8IXZ2,ZC3H3_HUMAN
Q8IXZ3,SP8_HUMAN
Q8IY17,PLPL6_HUMAN
Q8IY18,SMC5_HUMAN
Q8IY22,CMIP_HUMAN
Q8IY26,PLPP6_HUMAN
Q8IY33,MILK2_HUMAN
Q8IY37,DHX37_HUMAN
Q8IY42,CD019_HUMAN
Q8IY50,S35F3_HUMAN
Q8IY51,TIGD4_HUMAN
Q8IY57,YAF2_HUMAN
Q8IY63,AMOL1_HUMAN
Q8IY67,RAVR1_HUMAN
Q8IY81,SPB1_HUMAN
Q8IY82,DRC7_HUMAN
Q8IY84,NIM1_HUMAN
Q8IY85,EFC13_HUMAN
Q8IY92,SLX4_HUMAN
Q8IY95,TM192_HUMAN
Q8IYA6,CKP2L_HUMAN
Q8IYA7,MKX_HUMAN
Q8IYA8,IHO1_HUMAN
Q8IYB3,SRRM1_HUMAN
Q8IYB4,PEX5R_HUMAN
Q8IYB5,SMAP1_HUMAN
Q8IYB7,DI3L2_HUMAN
Q8IYB8,SUV3_HUMAN
Q8IYB9,ZN595_HUMAN
Q8IYD1,ERF3B_HUMAN
Q8IYD8,FANCM_HUMAN
Q8IYD9,LAS2_HUMAN
Q8IYE0,CC146_HUMAN
Q8IYE1,CCD13_HUMAN
Q8IYF1,ELOA2_HUMAN
Q8IYG6,LRC56_HUMAN
Q8IYH5,ZZZ3_HUMAN
Q8IYI0,SHLD1_HUMAN
Q8IYI6,EXOC8_HUMAN
Q8IYI8,ZN440_HUMAN
Q8IYJ0,PIANP_HUMAN
Q8IYJ3,SYTL1_HUMAN
Q8IYK2,CC105_HUMAN
Q8IYK4,GT252_HUMAN
Q8IYK8,REM2_HUMAN
Q8IYL2,TRM44_HUMAN
Q8IYL3,CA174_HUMAN
Q8IYM0,F186B_HUMAN
Q8IYM1,SEP12_HUMAN
Q8IYN2,TCAL8_HUMAN
Q8IYN6,UBAD2_HUMAN
Q8IYP9,ZDH23_HUMAN
Q8IYS0,ASTRC_HUMAN
Q8IYS2,K2013_HUMAN
Q8IYS4,CP071_HUMAN
Q8IYT1,FA71A_HUMAN
Q8IYT3,CC170_HUMAN
Q8IYT4,KATL2_HUMAN
Q8IYT8,ULK2_HUMAN
Q8IYU2,HACE1_HUMAN
Q8IYU4,UBQLN_HUMAN
Q8IYU8,MICU2_HUMAN
Q8IYV9,IZUM1_HUMAN
Q8IYW2,CFA46_HUMAN
Q8IYW4,ENTD1_HUMAN
Q8IYW5,RN168_HUMAN
Q8IYX3,CC116_HUMAN
Q8IYX7,SAXO1_HUMAN
Q8IYX8,CE57L_HUMAN
Q8IYY4,DZI1L_HUMAN
Q8IZ02,LRC34_HUMAN
Q8IZ07,AN13A_HUMAN
Q8IZ08,GP135_HUMAN
Q8IZ16,CG061_HUMAN
Q8IZ20,ZN683_HUMAN
Q8IZ21,PHAR4_HUMAN
Q8IZ26,ZNF34_HUMAN
Q8IZ40,RCOR2_HUMAN
Q8IZ41,RASEF_HUMAN
Q8IZ52,CHSS2_HUMAN
Q8IZ63,PRR22_HUMAN
Q8IZ69,TRM2A_HUMAN
Q8IZ73,RUSD2_HUMAN
Q8IZ96,CKLF1_HUMAN
Q8IZA0,K319L_HUMAN
Q8IZA3,H1FOO_HUMAN
Q8IZC4,RTKN2_HUMAN
Q8IZC6,CORA1_HUMAN
Q8IZC7,ZN101_HUMAN
Q8IZD0,SAM14_HUMAN
Q8IZD2,KMT2E_HUMAN
Q8IZD4,DCP1B_HUMAN
Q8IZD6,S22AF_HUMAN
Q8IZD9,DOCK3_HUMAN
Q8IZE3,PACE1_HUMAN
Q8IZF0,NALCN_HUMAN
Q8IZF2,AGRF5_HUMAN
Q8IZF5,AGRF3_HUMAN
Q8IZF6,AGRG4_HUMAN
Q8IZH2,XRN1_HUMAN
Q8IZI9,IFNL3_HUMAN
Q8IZJ1,UNC5B_HUMAN
Q8IZJ3,CPMD8_HUMAN
Q8IZJ4,RGDSR_HUMAN
Q8IZK6,MCLN2_HUMAN
Q8IZL2,MAML2_HUMAN
Q8IZL8,PELP1_HUMAN
Q8IZM9,S38A6_HUMAN
Q8IZN3,ZDH14_HUMAN
Q8IZP0,ABI1_HUMAN
Q8IZP1,TBC3A_HUMAN
Q8IZP6,R113B_HUMAN
Q8IZP7,H6ST3_HUMAN
Q8IZP9,AGRG2_HUMAN
Q8IZQ1,WDFY3_HUMAN
Q8IZQ8,MYCD_HUMAN
Q8IZR5,CKLF4_HUMAN
Q8IZS6,TC1D3_HUMAN
Q8IZT6,ASPM_HUMAN
Q8IZT8,HS3S5_HUMAN
Q8IZT9,FAM9C_HUMAN
Q8IZU0,FAM9B_HUMAN
Q8IZU1,FAM9A_HUMAN
Q8IZU3,SYCP3_HUMAN
Q8IZU8,DSEL_HUMAN
Q8IZU9,KIRR3_HUMAN
Q8IZW8,TENS4_HUMAN
Q8IZX4,TAF1L_HUMAN
Q8IZY2,ABCA7_HUMAN
Q8J025,APCD1_HUMAN
